stimuli_service,mean,std,25%,50%,75%
Azure-AR-Elena,3.3506493506493507,0.9969193834037693,3.0,4.0,4.0
Azure-AR-Tomas,2.9411764705882355,0.9035876206739963,2.0,3.0,4.0
DC-TTS-Catalina,1.8907563025210083,1.0150554461468173,1.0,2.0,2.5
DC-TTS-Constanza,2.388888888888889,1.1667779208190836,2.0,2.0,3.0
DC-TTS-Leo,2.610526315789474,1.2229606284620111,2.0,2.0,3.5
DC-TTS-Mauricio,2.8181818181818183,1.1677484162422844,2.0,3.0,3.5
DC-TTS-Nadia,1.9387755102040816,1.1105522591120192,1.0,2.0,2.0
DC-TTS-Sebas,1.7,1.2516655570345725,1.0,1.0,2.0
DC_TTS_Mario,2.0,1.2649110640673518,1.0,1.5,2.75
Fastpitch-AR,2.721212121212121,0.9974839004011531,2.0,3.0,3.0
Fastpitch-ES,2.5515151515151517,0.9200083549863238,2.0,2.0,3.0
Fastpitch-ES2,2.7696969696969695,0.9280470080098999,2.0,3.0,3.0
Fastpitch-Multi-Speaker,1.7623762376237624,1.1473396860796876,1.0,1.0,2.0
Librivox_ar,4.529850746268656,0.8379198959279581,4.0,5.0,5.0
Loquendo-f,1.7448979591836735,0.7224132593712409,1.0,2.0,2.0
NeuraSound-f1-arg,3.04,1.2929952570268297,2.0,3.0,4.0
NeuraSound-m1-arg,2.629032258064516,1.1341765405667088,2.0,2.0,3.0
NeuraSound-m2-arg,3.5,0.7071067811865476,3.25,3.5,3.75
Open_ar_f_1,4.857142857142857,0.5491696473652758,5.0,5.0,5.0
Open_ar_f_2,4.877551020408164,0.35941837673528954,5.0,5.0,5.0
Open_ar_m_1,4.89873417721519,0.41121884836767864,5.0,5.0,5.0
Open_ar_m_1_GL,4.093220338983051,0.942693795493225,4.0,4.0,5.0
Open_ar_m_2,4.923913043478261,0.26659001127895315,5.0,5.0,5.0
Open_ar_m_3,4.861386138613861,0.374958743605134,5.0,5.0,5.0
Polly-Camila,2.0568181818181817,0.8353945250833195,1.75,2.0,2.0
Polly-Enrique,2.5697674418604652,1.0464584269803006,2.0,3.0,3.0
Polly-Enrique-GL,2.2222222222222223,0.9673868128605024,2.0,2.0,3.0
Polly-Lupe,2.1758241758241756,0.851056945390803,1.5,2.0,3.0
Polly-Mia,2.3793103448275863,0.8386226153272113,2.0,2.0,3.0
Polly-Miguel,2.6363636363636362,1.0552897060221726,2.0,3.0,3.0
Polly-Penelope,2.227272727272727,0.8673817482393109,2.0,2.0,3.0
PollyN-Fiona,2.532608695652174,0.8574314691677458,2.0,3.0,3.0
PollyN-Pedro,2.781609195402299,1.0501969622167764,2.0,3.0,3.5
Speechelo-Albano,2.6363636363636362,0.9584676765970461,2.0,3.0,3.0
Speechelo-Fiore,2.225,0.927430095629035,2.0,2.0,3.0
Speechelo-Lalita,2.1666666666666665,0.939160514454325,1.0,2.0,3.0
Speechelo-Olimpia,2.1095890410958904,0.7916516460963896,2.0,2.0,3.0
Speechelo-Priscilla,2.25974025974026,0.8944654005046431,2.0,2.0,3.0
VTLPes-AR-Tomas,1.8253968253968254,1.1986508886631608,1.0,1.0,3.0
VTLPes-AR-TomasElena,1.8253968253968254,1.1986508886631608,1.0,1.0,3.0
VTLPes-BO-MarceloNeural,1.449438202247191,0.753947730812111,1.0,1.0,2.0
VTLPes-ES-ElviraNeural,1.1666666666666667,0.4344594573493841,1.0,1.0,1.0
es-BO-MarceloNeural,2.6951219512195124,1.0266693649585021,2.0,3.0,3.0
es-BO-SofiaNeural,2.3968253968253967,1.0856792513279199,1.5,2.0,3.0
es-ES-AlvaroNeural,2.8255813953488373,0.9724663667568788,2.0,3.0,3.0
es-ES-ElviraNeural,2.1052631578947367,0.7505130757153462,2.0,2.0,3.0
es-MX-JorgeNeural,3.074626865671642,1.034458324596939,2.0,3.0,4.0
speecheloAI-Leticia,3.0,0.9403246919632545,2.0,3.0,4.0
speecheloAI-Olimpia,2.1979166666666665,0.8158920422221334,2.0,2.0,3.0
tiktok-m1,1.5555555555555556,0.5270462766947299,1.0,2.0,2.0
tiktok-m2,2.0,0.8660254037844386,2.0,2.0,2.0
tts-dewhitte,1.4528301886792452,0.6036724982763437,1.0,1.0,2.0
